team_1,team_2,toss_won_by,decision,venue,time,umpire_1,umpire_2,umpire_3,referee,list_1,list_2,winning_team
MI,CSK,CSK,bowl,"Wankhede Stadium, Mumbai",8:00 PM,Nand Kishore,Chris Gaffaney,Anil Kumar Chaudhary,Sir Richie Richardson,"['Evin Lewis', 'Ishan Kishan', 'Rohit Sharma', 'Hardik Pandya', 'Kieron Pollard', 'Suryakumar Yadav', 'Krunal Pandya', 'Mayank Markande', 'Mitchell McClenaghan', 'Mustafizur Rahman', 'Jasprit Bumrah']","['Shane Watson', 'Ambati Rayudu', 'Suresh Raina', 'Kedar Jadhav', 'MS Dhoni', 'Dwayne Bravo', 'Ravindra Jadeja', 'Harbhajan Singh', 'Deepak Chahar', 'Imran Tahir', 'Mark Wood']",CSK
KXIP,DC,KXIP,bowl,"Punjab Cricket Association IS Bindra Stadium, Mohali",4:00 PM,Rod Tucker,KN Anantha Padmanabhan,Nitin Menon,Javagal Srinath,"['Lokesh Rahul', 'Mayank Agarwal', 'Karun Nair', 'Yuvraj Singh', 'David Miller', 'Marcus Stoinis', 'Axar Patel', 'Ravichandran Ashwin', 'Andrew Tye', 'Mohit Sharma', 'Mujeeb Ur Rahman']","['Gautam Gambhir', 'Colin Munro', 'Rishabh Pant', 'Shreyas Iyer', 'Chris Morris', 'Vijay Shankar', 'Daniel Christian', 'Rahul Tewatia', 'Amit Mishra', 'Trent Boult', 'Mohammed Shami']",KXIP
KKR,RCB,KKR,bowl,"Eden Gardens, Kolkata",8:00 PM,Chettithody Shamshuddin,Abhijit Deshmukh,Sundaram Ravi,Vengalil Narayan Kutty,"['Sunil Narine', 'Chris Lynn', 'Robin Uthappa', 'Dinesh Karthik', 'Nitish Rana', 'Rinku Singh', 'Andre Russell', 'Piyush Chawla', 'Vinay Kumar', 'Mitchell Johnson', 'Kuldeep Yadav']","['Quinton de Kock', 'Brendon McCullum', 'Virat Kohli', 'AB de Villiers', 'Sarfaraz Khan', 'Mandeep Singh', 'Washington Sundar', 'Chris Woakes', 'Kulwant Khejroliya', 'Umesh Yadav', 'Yuzvendra Chahal']",KKR
SRH,RR,SRH,bowl,"Rajiv Gandhi International Stadium, Hyderabad",8:00 PM,Nigel Llong,Vineet Kulkarni,Nandan,Sunil Chaturvedi,"['Shikhar Dhawan', 'Kane Williamson', 'Manish Pandey', 'Deepak Hooda', 'Yusuf Pathan', 'Shakib Al Hasan', 'Wriddhiman Saha', 'Rashid Khan', 'Bhuvneshwar Kumar', 'Billy Stanlake', 'Siddarth Kaul']","['Ajinkya Rahane', 'D Arcy Short', 'Sanju Samson', 'Ben Stokes', 'Rahul Tripathi', 'Jos Buttler', 'Krishnappa Gowtham', 'Shreyas Gopal', 'Dhawal Kulkarni', 'Jaydev Unadkat', 'Ben Laughlin']",SRH
CSK,KKR,CSK,bowl,"MA Chidambaram Stadium, Chennai",8:00 PM,Anil Kumar Chaudhary,Chris Gaffaney,Nand Kishore,Sir Richie Richardson,"['Shane Watson', 'Ambati Rayudu', 'Suresh Raina', 'Sam Billings', 'MS Dhoni', 'Ravindra Jadeja', 'Dwayne Bravo', 'Deepak Chahar', 'Harbhajan Singh', 'Imran Tahir', 'Shardul Thakur']","['Sunil Narine', 'Chris Lynn', 'Robin Uthappa', 'Nitish Rana', 'Dinesh Karthik', 'Rinku Singh', 'Andre Russell', 'Vinay Kumar', 'Piyush Chawla', 'Tom Curran', 'Kuldeep Yadav']",CSK
RR,DC,DC,bowl,"Sawai Mansingh Stadium, Jaipur",8:00 PM,KN Anantha Padmanabhan,Nitin Menon,Rod Tucker,Javagal Srinath,"['Ajinkya Rahane', 'D Arcy Short', 'Sanju Samson', 'Ben Stokes', 'Rahul Tripathi', 'Jos Buttler', 'Krishnappa Gowtham', 'Shreyas Gopal', 'Dhawal Kulkarni', 'Jaydev Unadkat', 'Ben Laughlin']","['Colin Munro', 'Gautam Gambhir', 'Shreyas Iyer', 'Vijay Shankar', 'Rishabh Pant', 'Glenn Maxwell', 'Rahul Tewatia', 'Chris Morris', 'Shahbaz Nadeem', 'Trent Boult', 'Mohammed Shami']",RR
SRH,MI,SRH,bowl,"Rajiv Gandhi International Stadium, Hyderabad",8:00 PM,Nigel Llong,Nandan,Vineet Kulkarni,Sunil Chaturvedi,"['Wriddhiman Saha', 'Shikhar Dhawan', 'Kane Williamson', 'Manish Pandey', 'Deepak Hooda', 'Yusuf Pathan', 'Shakib Al Hasan', 'Rashid Khan', 'Billy Stanlake', 'Siddarth Kaul', 'Sandeep Sharma']","['Rohit Sharma', 'Evin Lewis', 'Ishan Kishan', 'Suryakumar Yadav', 'Krunal Pandya', 'Kieron Pollard', 'Ben Cutting', 'Mayank Markande', 'Pradeep Sangwan', 'Mustafizur Rahman', 'Jasprit Bumrah']",SRH
RCB,KXIP,RCB,bowl,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM,Sundaram Ravi,Abhijit Deshmukh,Chettithody Shamshuddin,Vengalil Narayan Kutty,"['Brendon McCullum', 'Quinton de Kock', 'Virat Kohli', 'AB de Villiers', 'Sarfaraz Khan', 'Mandeep Singh', 'Chris Woakes', 'Washington Sundar', 'Kulwant Khejroliya', 'Umesh Yadav', 'Yuzvendra Chahal']","['Lokesh Rahul', 'Mayank Agarwal', 'Aaron Finch', 'Yuvraj Singh', 'Karun Nair', 'Marcus Stoinis', 'Axar Patel', 'Ravichandran Ashwin', 'Andrew Tye', 'Mohit Sharma', 'Mujeeb Ur Rahman']",RCB
MI,DC,DC,bowl,"Wankhede Stadium, Mumbai",4:00 PM,KN Anantha Padmanabhan,Nitin Menon,Rod Tucker,Javagal Srinath,"['Rohit Sharma', 'Evin Lewis', 'Ishan Kishan', 'Suryakumar Yadav', 'Hardik Pandya', 'Krunal Pandya', 'Kieron Pollard', 'Mayank Markande', 'Jasprit Bumrah', 'Mustafizur Rahman', 'Akila Dananjaya']","['Jason Roy', 'Gautam Gambhir', 'Shreyas Iyer', 'Rishabh Pant', 'Glenn Maxwell', 'Vijay Shankar', 'Daniel Christian', 'Rahul Tewatia', 'Shahbaz Nadeem', 'Mohammed Shami', 'Trent Boult']",DC
KKR,SRH,SRH,bowl,"Eden Gardens, Kolkata",8:00 PM,Nand Kishore,Anil Chaudhary,Chris Gaffaney,Sir Richie Richardson,"['Chris Lynn', 'Sunil Narine', 'Robin Uthappa', 'Nitish Rana', 'Dinesh Karthik', 'Shubman Gill', 'Andre Russell', 'Mitchell Johnson', 'Shivam Mavi', 'Piyush Chawla', 'Kuldeep Yadav']","['Wriddhiman Saha', 'Shikhar Dhawan', 'Kane Williamson', 'Manish Pandey', 'Shakib Al Hasan', 'Deepak Hooda', 'Yusuf Pathan', 'Bhuvneshwar Kumar', 'Rashid Khan', 'Siddarth Kaul', 'Billy Stanlake']",SRH
RCB,RR,RCB,bowl,"M.Chinnaswamy Stadium, Bengaluru",4:00 PM,Chettithody Shamshuddin,Sundaram Ravi,Abhijit Deshmukh,Manu Nayyar,"['Quinton de Kock', 'Brendon McCullum', 'Virat Kohli', 'AB de Villiers', 'Mandeep Singh', 'Washington Sundar', 'Chris Woakes', 'Pawan Negi', 'Kulwant Khejroliya', 'Umesh Yadav', 'Yuzvendra Chahal']","['Ajinkya Rahane', 'D Arcy Short', 'Ben Stokes', 'Sanju Samson', 'Jos Buttler', 'Rahul Tripathi', 'Krishnappa Gowtham', 'Shreyas Gopal', 'Dhawal Kulkarni', 'Jaydev Unadkat', 'Ben Laughlin']",RR
KXIP,CSK,CSK,bowl,"Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM,Nandan,Vineet Kulkarni,Nigel Llong,Sunil Chaturvedi,"['Lokesh Rahul', 'Chris Gayle', 'Mayank Agarwal', 'Aaron Finch', 'Yuvraj Singh', 'Karun Nair', 'Ravichandran Ashwin', 'Andrew Tye', 'Barinder Sran', 'Mohit Sharma', 'Mujeeb Ur Rahman']","['Shane Watson', 'Ambati Rayudu', 'Murali Vijay', 'MS Dhoni', 'Sam Billings', 'Ravindra Jadeja', 'Dwayne Bravo', 'Deepak Chahar', 'Harbhajan Singh', 'Imran Tahir', 'Shardul Thakur']",KXIP
KKR,DC,DC,bowl,"Eden Gardens, Kolkata",8:00 PM,Anil Kumar Chaudhary,Nand Kishore,Chris Gaffaney,Sir Richie Richardson,"['Chris Lynn', 'Sunil Narine', 'Robin Uthappa', 'Nitish Rana', 'Dinesh Karthik', 'Andre Russell', 'Shubman Gill', 'Shivam Mavi', 'Tom Curran', 'Piyush Chawla', 'Kuldeep Yadav']","['Jason Roy', 'Gautam Gambhir', 'Rishabh Pant', 'Glenn Maxwell', 'Shreyas Iyer', 'Vijay Shankar', 'Chris Morris', 'Rahul Tewatia', 'Shahbaz Nadeem', 'Mohammed Shami', 'Trent Boult']",KKR
MI,RCB,RCB,bowl,"Wankhede Stadium, Mumbai",8:00 PM,Rod Tucker,Nitin Menon,KN Anantha Padmanabhan,Javagal Srinath,"['Suryakumar Yadav', 'Evin Lewis', 'Ishan Kishan', 'Rohit Sharma', 'Kieron Pollard', 'Krunal Pandya', 'Hardik Pandya', 'Mitchell McClenaghan', 'Mayank Markande', 'Jasprit Bumrah', 'Mustafizur Rahman']","['Quinton de Kock', 'Virat Kohli', 'AB de Villiers', 'Mandeep Singh', 'Corey Anderson', 'Sarfaraz Khan', 'Washington Sundar', 'Chris Woakes', 'Umesh Yadav', 'Yuzvendra Chahal', 'Mohammed Siraj']",MI
RR,KKR,KKR,bowl,"Sawai Mansingh Stadium, Jaipur",8:00 PM,Abhijit Deshmukh,Sundaram Ravi,Chettithody Shamshuddin,Manu Nayyar,"['Ajinkya Rahane', 'D Arcy Short', 'Sanju Samson', 'Ben Stokes', 'Jos Buttler', 'Rahul Tripathi', 'Krishnappa Gowtham', 'Shreyas Gopal', 'Dhawal Kulkarni', 'Jaydev Unadkat', 'Ben Laughlin']","['Chris Lynn', 'Sunil Narine', 'Robin Uthappa', 'Nitish Rana', 'Dinesh Karthik', 'Andre Russell', 'Shubman Gill', 'Tom Curran', 'Piyush Chawla', 'Shivam Mavi', 'Kuldeep Yadav']",KKR
KXIP,SRH,KXIP,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali",8:00 PM,Nigel Llong,Anil Kumar Chaudhary,Vineet Kulkarni,Sunil Chaturvedi,"['Lokesh Rahul', 'Chris Gayle', 'Mayank Agarwal', 'Yuvraj Singh', 'Aaron Finch', 'Karun Nair', 'Ravichandran Ashwin', 'Andrew Tye', 'Barinder Sran', 'Mohit Sharma', 'Mujeeb Ur Rahman']","['Wriddhiman Saha', 'Shikhar Dhawan', 'Kane Williamson', 'Manish Pandey', 'Shakib Al Hasan', 'Deepak Hooda', 'Yusuf Pathan', 'Bhuvneshwar Kumar', 'Rashid Khan', 'Siddarth Kaul', 'Chris Jordan']",KXIP
CSK,RR,RR,bowl,"Maharashtra Cricket Association Stadium, Pune",8:00 PM,KN Anantha Padmanabhan,Nitin Menon,Rod Tucker,Javagal Srinath,"['Shane Watson', 'Ambati Rayudu', 'Suresh Raina', 'Sam Billings', 'MS Dhoni', 'Ravindra Jadeja', 'Dwayne Bravo', 'Deepak Chahar', 'Karn Sharma', 'Shardul Thakur', 'Imran Tahir']","['Ajinkya Rahane', 'Rahul Tripathi', 'Sanju Samson', 'Ben Stokes', 'Jos Buttler', 'Heinrich Klaasen', 'Stuart Binny', 'Krishnappa Gowtham', 'Shreyas Gopal', 'Jaydev Unadkat', 'Ben Laughlin']",CSK
KKR,KXIP,KXIP,bowl,"Eden Gardens, Kolkata",4:00 PM,Chettithody Shamshuddin,Abhijit Deshmukh,Sundaram Ravi,Manu Nayyar,"['Sunil Narine', 'Chris Lynn', 'Robin Uthappa', 'Nitish Rana', 'Dinesh Karthik', 'Andre Russell', 'Shubman Gill', 'Tom Curran', 'Piyush Chawla', 'Shivam Mavi', 'Kuldeep Yadav']","['Lokesh Rahul', 'Chris Gayle', 'Mayank Agarwal', 'Karun Nair', 'Aaron Finch', 'Yuvraj Singh', 'Ravichandran Ashwin', 'Andrew Tye', 'Barinder Sran', 'Ankit Rajpoot', 'Mujeeb Ur Rahman']",KXIP
RCB,DC,RCB,bowl,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM,Nandan,Chris Gaffaney,Nand Kishore,Sir Richie Richardson,"['Manan Vohra', 'Quinton de Kock', 'Virat Kohli', 'AB de Villiers', 'Mandeep Singh', 'Corey Anderson', 'Washington Sundar', 'Chris Woakes', 'Umesh Yadav', 'Mohammed Siraj', 'Yuzvendra Chahal']","['Gautam Gambhir', 'Jason Roy', 'Shreyas Iyer', 'Rishabh Pant', 'Glenn Maxwell', 'Rahul Tewatia', 'Vijay Shankar', 'Chris Morris', 'Shahbaz Nadeem', 'Harshal Patel', 'Trent Boult']",RCB
SRH,CSK,SRH,bowl,"Rajiv Gandhi International Stadium, Hyderabad",4:00 PM,Vineet Kulkarni,Anil Chaudhary,Nigel Llong,Sunil Chaturvedi,"['Ricky Bhui', 'Kane Williamson', 'Manish Pandey', 'Deepak Hooda', 'Shakib Al Hasan', 'Yusuf Pathan', 'Wriddhiman Saha', 'Bhuvneshwar Kumar', 'Rashid Khan', 'Billy Stanlake', 'Siddarth Kaul']","['Shane Watson', 'Faf du Plessis', 'Suresh Raina', 'Ambati Rayudu', 'MS Dhoni', 'Sam Billings', 'Dwayne Bravo', 'Ravindra Jadeja', 'Deepak Chahar', 'Karn Sharma', 'Shardul Thakur']",CSK
RR,MI,MI,bat,"Sawai Mansingh Stadium, Jaipur",8:00 PM,Rod Tucker,KN Anantha Padmanabhan,Nitin Menon,Javagal Srinath,"['Ajinkya Rahane', 'Rahul Tripathi', 'Sanju Samson', 'Ben Stokes', 'Heinrich Klaasen', 'Jos Buttler', 'Krishnappa Gowtham', 'Jofra Archer', 'Dhawal Kulkarni', 'Shreyas Gopal', 'Jaydev Unadkat']","['Suryakumar Yadav', 'Evin Lewis', 'Ishan Kishan', 'Rohit Sharma', 'Krunal Pandya', 'Kieron Pollard', 'Hardik Pandya', 'Mitchell McClenaghan', 'Mayank Markande', 'Jasprit Bumrah', 'Mustafizur Rahman']",RR
DC,KXIP,DC,bowl,"Arun Jaitley Stadium, Delhi",8:00 PM,Nandan,Nand Kishore,Chris Gaffaney,Sir Richie Richardson,"['Gautam Gambhir', 'Prithvi Shaw', 'Shreyas Iyer', 'Rishabh Pant', 'Glenn Maxwell', 'Daniel Christian', 'Rahul Tewatia', 'Liam Plunkett', 'Amit Mishra', 'Avesh Khan', 'Trent Boult']","['Lokesh Rahul', 'Aaron Finch', 'Mayank Agarwal', 'Karun Nair', 'Yuvraj Singh', 'David Miller', 'Ravichandran Ashwin', 'Andrew Tye', 'Barinder Sran', 'Ankit Rajpoot', 'Mujeeb Ur Rahman']",KXIP
MI,SRH,MI,bowl,"Wankhede Stadium, Mumbai",8:00 PM,Chettithody Shamshuddin,Sundaram Ravi,Abhijit Deshmukh,Vengalil Narayan Kutty,"['Suryakumar Yadav', 'Evin Lewis', 'Ishan Kishan', 'Rohit Sharma', 'Kieron Pollard', 'Krunal Pandya', 'Hardik Pandya', 'Mitchell McClenaghan', 'Mayank Markande', 'Jasprit Bumrah', 'Mustafizur Rahman']","['Shikhar Dhawan', 'Kane Williamson', 'Wriddhiman Saha', 'Manish Pandey', 'Shakib Al Hasan', 'Yusuf Pathan', 'Mohammad Nabi', 'Rashid Khan', 'Basil Thampi', 'Sandeep Sharma', 'Siddarth Kaul']",SRH
RCB,CSK,CSK,bowl,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM,Nigel Llong,Virender Sharma,Anil Chaudhary,Sunil Chaturvedi,"['Quinton de Kock', 'Virat Kohli', 'AB de Villiers', 'Mandeep Singh', 'Corey Anderson', 'Colin de Grandhomme', 'Washington Sundar', 'Pawan Negi', 'Umesh Yadav', 'Mohammed Siraj', 'Yuzvendra Chahal']","['Shane Watson', 'Ambati Rayudu', 'Suresh Raina', 'Sam Billings', 'MS Dhoni', 'Dwayne Bravo', 'Ravindra Jadeja', 'Harbhajan Singh', 'Deepak Chahar', 'Shardul Thakur', 'Imran Tahir']",CSK
SRH,KXIP,KXIP,bowl,"Rajiv Gandhi International Stadium, Hyderabad",8:00 PM,Nandan,Yeshwant Barde,Rod Tucker,Javagal Srinath,"['Shikhar Dhawan', 'Kane Williamson', 'Wriddhiman Saha', 'Manish Pandey', 'Shakib Al Hasan', 'Yusuf Pathan', 'Mohammad Nabi', 'Rashid Khan', 'Basil Thampi', 'Siddarth Kaul', 'Sandeep Sharma']","['Lokesh Rahul', 'Chris Gayle', 'Mayank Agarwal', 'Karun Nair', 'Aaron Finch', 'Manoj Tiwary', 'Ravichandran Ashwin', 'Andrew Tye', 'Barinder Sran', 'Ankit Rajpoot', 'Mujeeb Ur Rahman']",SRH
DC,KKR,KKR,bowl,"Arun Jaitley Stadium, Delhi",8:00 PM,Chettithody Shamshuddin,Sundaram Ravi,Nand Kishore,Sir Richie Richardson,"['Prithvi Shaw', 'Colin Munro', 'Glenn Maxwell', 'Rishabh Pant', 'Shreyas Iyer', 'Vijay Shankar', 'Rahul Tewatia', 'Liam Plunkett', 'Amit Mishra', 'Avesh Khan', 'Trent Boult']","['Chris Lynn', 'Sunil Narine', 'Robin Uthappa', 'Nitish Rana', 'Dinesh Karthik', 'Andre Russell', 'Shubman Gill', 'Mitchell Johnson', 'Piyush Chawla', 'Shivam Mavi', 'Kuldeep Yadav']",DC
CSK,MI,MI,bowl,"Maharashtra Cricket Association Stadium, Pune",8:00 PM,Nitin Menon,Chris Gaffaney,Anil Dandekar,Vengalil Narayan Kutty,"['Shane Watson', 'Ambati Rayudu', 'Suresh Raina', 'Sam Billings', 'Ravindra Jadeja', 'MS Dhoni', 'Dwayne Bravo', 'Harbhajan Singh', 'Deepak Chahar', 'Shardul Thakur', 'Imran Tahir']","['Suryakumar Yadav', 'Evin Lewis', 'Ishan Kishan', 'Rohit Sharma', 'Jean-Paul Duminy', 'Krunal Pandya', 'Hardik Pandya', 'Ben Cutting', 'Mitchell McClenaghan', 'Mayank Markande', 'Jasprit Bumrah']",MI
RR,SRH,SRH,bat,"Sawai Mansingh Stadium, Jaipur",4:00 PM,Bruce Oxenford,Nand Kishore,Sundaram Ravi,Andy Pycroft,"['Ajinkya Rahane', 'Rahul Tripathi', 'Sanju Samson', 'Ben Stokes', 'Jos Buttler', 'Mahipal Lomror', 'Krishnappa Gowtham', 'Jofra Archer', 'Dhawal Kulkarni', 'Ish Sodhi', 'Jaydev Unadkat']","['Shikhar Dhawan', 'Alex Hales', 'Kane Williamson', 'Manish Pandey', 'Shakib Al Hasan', 'Yusuf Pathan', 'Wriddhiman Saha', 'Rashid Khan', 'Basil Thampi', 'Siddarth Kaul', 'Sandeep Sharma']",SRH
RCB,KKR,KKR,bowl,"M.Chinnaswamy Stadium, Bengaluru",8:00 PM,Nigel Llong,Anil Chaudhary,Virender Sharma,Manu Nayyar,"['Brendon McCullum', 'Quinton de Kock', 'Virat Kohli', 'Manan Vohra', 'Mandeep Singh', 'Colin de Grandhomme', 'Murugan Ashwin', 'Tim Southee', 'Umesh Yadav', 'Mohammed Siraj', 'Yuzvendra Chahal']","['Chris Lynn', 'Sunil Narine', 'Robin Uthappa', 'Nitish Rana', 'Dinesh Karthik', 'Shubman Gill', 'Andre Russell', 'Shivam Mavi', 'Piyush Chawla', 'Mitchell Johnson', 'Kuldeep Yadav']",KKR
